id,title,year,director
1,Trip to the Moon,1902,Georges Méliès
2,The Great Train Robbery,1903,Edwin Stanton Porter
3,The Cameraman's Revenge,1912,Ladislas Starevich
4,Cabiria,1914,Giovanni Pastrone
5,The Birth of a Nation,1915,D. W. Griffith
6,Intolerance,1916,D. W. Griffith
7,The Immigrant,1917,Charlie Chaplin
8,Broken Blossoms,1919,D. W. Griffith
9,The Cabinet of Dr. Caligari,1920,Robert Wiene
10,The Kid,1921,Charlie Chaplin
11,Nanook of the North,1922,Robert J. Flaherty
12,Nosferatu,1922,F. W. Murnau
13,Safety Last!,1923,Fred C. Newmeyer; Sam Taylor
14,Sherlock Jr.,1924,Buster Keaton
15,The Last Laugh,1924,F. W. Murnau
16,The Gold Rush,1925,Charlie Chaplin
17,Battleship Potemkin,1925,Sergei Eisenstein
18,The General,1926,Buster Keaton; Clyde Bruckman
19,Metropolis,1927,Fritz Lang
20,Sunrise: A Song of Two Humans,1927,F. W. Murnau
21,The Jazz Singer,1927,Alan Crosland
22,The Passion of Joan of Arc,1928,Carl Theodor Dreyer
23,"Steamboat Bill, Jr.",1928,Charles Reisner
24,Un Chien Andalou,1929,Luis Buñuel
25,Man with a Movie Camera,1929,Dziga Vertov
26,All Quiet on the Western Front,1930,Lewis Milestone
27,City Lights,1931,Charlie Chaplin
28,M,1931,Fritz Lang
29,Frankenstein,1931,James Whale
30,Scarface,1932,Howard Hawks; Richard Rosson
31,Freaks,1932,Tod Browning
32,Duck Soup,1933,Leo McCarey
33,King Kong,1933,Ernest B. Schoedsack; Merian C. Cooper
34,It Happened One Night,1934,Frank Capra
35,The Thin Man,1934,W. S. Van Dyke
36,The 39 Steps,1935,Alfred Hitchcock
37,The Bride of Frankenstein,1935,James Whale
38,Modern Times,1936,Charlie Chaplin
39,My Man Godfrey,1936,Gregory La Cava
40,Swing Time,1936,George Stevens
41,Snow White and the Seven Dwarfs,1937,Ben Sharpsteen; David Hand; Larry Morey; Percival C. Pearce; Wilfred Jackson; William Cottrell
42,La Grande Illusion,1937,Jean Renoir
43,The Awful Truth,1937,Leo McCarey
44,Bringing Up Baby,1938,Howard Hawks
